Cluster,Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCA_000152765.1,GCA_000256385.2,GCA_002872535.2,GCA_002872545.1,GCA_002872555.1,GCA_002872565.1,GCA_002872615.1,GCA_002872625.1,GCA_002872635.1,GCA_002872645.1,GCA_002872695.1,GCA_002872705.1,GCA_002872735.1,GCA_002872755.1,GCA_002872765.1,GCA_002872775.1,GCA_002872835.1,GCA_002872855.1,GCA_002872865.1,GCA_002872895.1,GCA_002872905.1,GCA_002872925.1,GCA_002872955.1,GCA_002873045.1,GCA_002873075.1,GCA_002873095.1,GCA_002873115.1,GCA_002873185.1,GCA_002873195.1,GCA_002873265.1,GCA_002873285.1,GCA_002873335.1,GCA_002873345.1,GCA_002873395.1,GCA_002873405.1,GCA_002873435.1,GCA_002873455.1,GCA_002873485.1,GCA_002873515.1,GCA_002873525.1,GCA_002873555.1,GCA_002873565.1,GCA_002873595.1,GCA_002873645.1,GCA_002873675.1,GCA_002873695.1,GCA_002873715.1,GCA_002873735.1,GCA_002873745.1,GCA_002873755.2,GCA_002873795.2,GCA_002873815.1,GCA_002873825.1,GCA_002873855.2,GCA_002873875.2,GCA_002873895.2,GCA_002873905.1,GCA_002873935.1,GCA_002873955.2,GCA_002873965.1,GCA_002873995.1,GCA_002874015.1,GCA_002874035.1,GCA_002874055.1,GCA_002874075.1,GCA_002874085.1,GCA_002874115.1,GCA_002874135.1,GCA_002874155.1,GCA_002874165.1,GCA_002874195.1,GCA_002874205.1,GCA_002874235.1,GCA_002874245.1,GCA_002874275.1,GCA_002874295.1,GCA_002874305.1,GCA_002874335.1,GCA_002874415.1,GCA_002874435.1,GCA_002874445.1,GCA_002874475.1,GCA_002874485.1,GCA_002874515.1,GCA_002874555.1,GCA_002874595.1,GCA_002874615.1,GCA_002874645.1,GCA_002874655.2,GCA_002874685.2,GCA_002874695.2,GCA_002874725.1,GCA_002874745.1,GCA_002874765.1,GCA_002874785.2,GCA_002874845.1,GCA_002874865.2,GCA_002874875.2,GCA_002874905.1,GCA_002874925.1,GCA_002874945.1,GCA_002874975.1,GCA_002875005.1,GCA_002875015.1,GCA_002875045.1,GCA_002875065.1,GCA_002875085.1,GCA_002875095.1,GCA_002875125.1,GCA_002875145.1,GCA_002875165.1,GCA_002875185.1,GCA_002875195.1,GCA_002875225.1,GCA_002875235.1,GCA_002875245.1,GCA_002875285.1,GCA_002875305.1,GCA_002875315.1,GCA_002875345.1,GCA_002875355.1,GCA_002875385.1,GCA_002875395.1,GCA_002875425.1,GCA_002875445.1,GCA_002875465.1,GCA_002875485.1,GCA_002875495.1,GCA_002875525.1,GCA_002875555.1,GCA_002875585.1,GCA_002875605.1,GCA_002875625.1,GCA_002875665.1,GCA_002875685.1,GCA_002875705.1,GCA_002875715.1,GCA_002875745.1,GCA_002875785.1,GCA_002875805.1,GCA_002875825.1,GCA_002875845.1,GCA_002875865.2,GCA_002875885.1,GCA_002875905.1,GCA_002875915.1,GCA_002875945.1,GCA_002875965.1,GCA_002875985.1,GCA_002875995.1,GCA_002876025.1,GCA_002876045.1,GCA_002876065.1,GCA_002876085.1,GCA_002876105.1,GCA_002876115.1,GCA_002876125.1,GCA_002876165.1,GCA_002876185.1,GCA_002876195.1,GCA_002876225.1,GCA_002876245.1,GCA_002876255.1,GCA_002876285.1,GCA_002876295.1,GCA_002876325.1,GCA_002876365.1,GCA_002876375.1,GCA_002876405.1,GCA_002876415.1,GCA_002876425.1,GCA_002876465.1,GCA_002876485.1,GCA_002876495.1,GCA_002876525.1,GCA_002876535.1,GCA_002876565.1,GCA_002876575.1,GCA_002876585.1,GCA_002876625.1,GCA_002876665.1,GCA_002876675.1,GCA_002876715.1,GCA_002876745.1,GCA_002876765.1,GCA_002876795.1,GCA_002876845.1,GCA_002876855.1,GCA_002876865.1,GCA_002876915.1,GCA_002876945.2,GCA_002876965.1,GCA_002876975.1,GCA_002877005.2,GCA_002877045.1,GCA_002877065.2,GCA_002877085.1,GCA_002877105.1,GCA_002877115.1,GCA_002877145.1,GCA_002877185.1,GCA_002877195.1,GCA_002877235.1,GCA_002877285.1,GCA_002877305.1,GCA_002877315.1,GCA_002877345.1,GCA_002877365.1,GCA_002877375.1,GCA_002877405.1,GCA_002877415.1,GCA_002877445.1,GCA_002877465.1,GCA_002877485.1,GCA_002877525.1,GCA_002877535.1,GCA_002877545.1,GCA_002877605.2,GCA_002877625.1,GCA_002877645.1,GCA_002877655.1,GCA_002877685.1,GCA_002877705.1,GCA_002877725.1,GCA_002877735.1,GCA_002877745.1,GCA_002878515.1,GCA_002878535.1,GCA_002878555.1,GCA_002878565.1,GCA_002878595.1,GCA_002878605.2,GCA_002878635.1,GCA_020539545.1,GCA_020539555.1,GCA_020806125.1,GCA_020806205.1,GCA_020806225.1,GCA_020806245.1,GCA_020806255.1,GCA_020806295.1,GCA_020806305.1,GCA_020806365.1,GCA_020806385.1
239,group_4798,,arginine deiminase,25,25,1.0,1,5006,,,,174,210,190.0,cds-EAP93179.1,,,,,,,,,,,,,,,,,,,,,,cds-PMI61651.1,,,,,,,cds-PMH60935.1,,,,,,,,,,,cds-PMG64701.1,cds-PMG64706.1,,,,,,,cds-PMG11236.1,,,,,,,,,,,,,,,,,,,cds-PMJ05106.1,,,,,cds-PMI65992.1,,cds-PMI42533.1,,cds-PMH99799.1,,,cds-PMH30227.1,,,,cds-PMG45832.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139_refound_2655,cds-PMN14407.1,,,,,,,,,,,,,cds-PMM22223.1,cds-PMM25635.1,,,,,,cds-PML58252.1,,,,,,,,cds-PMK93109.1,,,,,,,,,,,,,,,,,cds-PMN52074.1,cds-PMM45781.1,,,,,,,,,,,,,,,,,,,,,,,,cds-PMJ87261.1,,,,,cds-PMJ53859.1,,,,cds-PMK68223.1,,,,,,,,,,,,,,,,,cds-MCC4835976.1,,,,,,cds-MCC4816730.1,
239,group_11735,,DEAD/DEAH box helicase,16,16,1.0,1,12280,,,,2448,2451,2448.75,,,,,,,,,,,,,,,,,,,,,,,cds-PMI60071.1,,,,,cds-PMH91322.1,,,,,,,,cds-PMH16941.1,,,,,,,,,,cds-PMG18443.1,,,,,,,cds-PMF62820.1,,,,,,,,,,,,,,,cds-PMJ01877.1,,cds-PMI96018.1,,,,,,,,,,cds-PMH27682.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO60754.1,cds-PMO53163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMM14871.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMM99905.1,,,,,,,,,,,,,,,,,,,,,,,,cds-PMK02479.1,,,,,,,cds-PMJ80684.1,,,,,cds-PMK69665.1,,,,,,,,,,,,,,,,,,,,,cds-MCC4788755.1,,,
239,group_4194,,restriction endonuclease subunit M,15,15,1.0,1,4362,,,,1476,1515,1496.0,,,,,,,,,,,,,,,,,,,,,,,cds-PMI60074.1,,,,,cds-PMH91327.1,,,,,,,,cds-PMH16944.1,,,,,,,,,,cds-PMG18446.1,,,,,,,cds-PMF62823.1,,,,,,,,,,,,,,,cds-PMJ01874.1,,cds-PMI96015.1,,,,,,,,,,cds-PMH27685.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO60751.1,cds-PMO53160.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMM14874.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMM99902.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMJ80681.1,,,,,cds-PMK69668.1,,,,,,,,,,,,,,,,,,,,,cds-MCC4788758.1,,,
239,group_858,,hypothetical protein,13,13,1.0,1,889,,,,399,399,399.0,,,,,,,,,,,,,,,,,,,,,,,cds-PMI60073.1,,,,,cds-PMH91326.1,,,,,,,,,,,,,,,,,,cds-PMG18445.1,,,,,,,cds-PMF62822.1,,,,,,,,,,,,,,,cds-PMJ01875.1,,cds-PMI96016.1,,,,,,,,,,cds-PMH27684.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO53161.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMM99903.1,,,,,,,,,,,,,,,,,,,,,,,,cds-PMK02481.1,,,,,,,cds-PMJ80682.1,,,,,cds-PMK69667.1,,,,,,,,,,,,,,,,,,,,,240_refound_4527,,,
239,group_19257,,hypothetical protein,11,11,1.0,114,4,,,,270,321,307.09090909090907,,,,cds-PME35246.1,cds-PME31610.1,,,,,,,,,,,cds-PMJ26284.1,,cds-PMI89476.1,,,,,cds-PMI52312.1,cds-PMI23452.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PME61344.1,,,,cds-PMI98573.1,,,cds-PMJ03212.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PML38498.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMH66800.1,,,,,,,,,,,,,,,
239,group_19769,,ferric anguibactin receptor,5,5,1.0,199,10,,,,2181,2181,2181.0,,,,,,,,,,,,,,,,cds-PMJ26780.1,,,,,,,22_refound_616,,,,,cds-PMH93560.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMJ05149.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMH71180.1,,,,,,,,,,,,,,,
239,group_19768,,iron ABC transporter permease,5,5,1.0,199,9,,,,945,945,945.0,,,,,,,,,,,,,,,,cds-PMJ26783.1,,,,,,,cds-PMI67003.1,,,,,cds-PMH93563.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMJ05146.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMH71177.1,,,,,,,,,,,,,,,
239,group_19767,,ferric anguibactin-binding protein,5,5,1.0,199,8,,,,969,969,969.0,,,,,,,,,,,,,,,,cds-PMJ26781.1,,,,,,,cds-PMI52792.1,,,,,cds-PMH93561.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMJ05148.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMH71179.1,,,,,,,,,,,,,,,
239,group_19762,,iron ABC transporter permease,5,5,1.0,199,3,,,,954,954,954.0,,,,,,,,,,,,,,,,cds-PMJ26782.1,,,,,,,cds-PMI52793.1,,,,,cds-PMH93562.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMJ05147.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMH71178.1,,,,,,,,,,,,,,,
239,group_19777,,ABC transporter,3,3,1.0,199,18,,,,1611,1611,1611.0,,,,,,,,,,,,,,,,,,,,,,,cds-PMI52791.1,,,,,cds-PMH93559.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMJ05150.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,group_19761,,ABC transporter,3,3,1.0,199,2,,,,1659,1659,1659.0,,,,,,,,,,,,,,,,,,,,,,,cds-PMI52790.1,,,,,cds-PMH93558.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMJ05151.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1.011.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,x,,x,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,,,,,,,x,,,,,,x,,x,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,x
239,1.062.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,x,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,x,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
239,1.040.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,x,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x
239,1.044.O._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,x,,x,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,x,x,,,,,x,x,,,,,x,,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
239,1.043.O._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,x,,x,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,x,x,,,,x,x,x,,,,,x,,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
239,2.092.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,x,,,x,x,,x,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
239,1.102.O._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,x,,x,,x,,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,x,,,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
239,1.080.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,x,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,x,,,,,,x,,x,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
239,1.125.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,x,,,x,,x,,,,,x,x,,x,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,x,,,,,,,,,,,,x,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,x,,,,,,,,x,,,x
239,1.008.O._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,x,,,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,,,,,,,x,,,,,,x,,x,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
239,1.095.O._Phag,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,x,,x,,x,,x,,x,,,,,x,,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,x,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,x,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
239,1.141.A._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,x,x,x,,,,x,,x,,,x,x,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
239,1.069.O._Phag,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,x,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,,,,x,x,,x,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
239,1.048.O._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,x,x,x,,,,,,,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
239,1.057.O._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,x,,,,,,x,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,x,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
239,1.107.B._Phag,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,x,,,,,x,,,,x,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,x,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
291,group_18110,,pilus assembly protein CpaC,11,11,1.0,1,18793,,,,1467,1467,1467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG82819.1,,cds-PMG37201.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG94441.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO94755.1,,,,cds-PMO64825.1,,,,,,cds-PMO33278.1,,,,,,,,,,,,,,,,,,,,,cds-PMM84342.1,,,cds-PMM48766.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO90207.1,,,,,,,,,,,,cds-PMM20429.1,,,,cds-PML84473.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,group_18109,,AAA family ATPase,11,11,1.0,1,18792,,,,1323,1323,1323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG82817.1,,cds-PMG37203.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG94443.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO94753.1,,,,cds-PMO64827.1,,,,,,cds-PMO33280.1,,,,,,,,,,,,,,,,,,,,,cds-PMM84340.1,,,cds-PMM48764.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO90209.1,,,,,,,,,,,,cds-PMM20427.1,,,,cds-PML84471.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,group_3429,,hypothetical protein,11,11,1.0,1,3560,,,,240,240,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG82820.1,,cds-PMG37200.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG94440.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO94756.1,,,,cds-PMO64824.1,,,,,,cds-PMO33277.1,,,,,,,,,,,,,,,,,,,,,cds-PMM84343.1,,,cds-PMM48767.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO90206.1,,,,,,,,,,,,cds-PMM20430.1,,,,cds-PML84474.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,group_307,,Flp pilus assembly protein CpaB,11,11,1.0,1,316,,,,732,732,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG82818.1,,cds-PMG37202.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG94442.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO94754.1,,,,cds-PMO64826.1,,,,,,cds-PMO33279.1,,,,,,,,,,,,,,,,,,,,,cds-PMM84341.1,,,cds-PMM48765.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO90208.1,,,,,,,,,,,,cds-PMM20428.1,,,,cds-PML84472.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,group_6892,,hypothetical protein,10,10,1.0,1,7202,,,,519,519,519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG82823.1,,cds-PMG37198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO94758.1,,,,cds-PMO64822.1,,,,,,cds-PMO33274.1,,,,,,,,,,,,,,,,,,,,,cds-PMM84345.1,,,cds-PMM48769.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO90204.1,,,,,,,,,,,,cds-PMM20432.1,,,,cds-PML84476.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,group_6789,,hypothetical protein,10,10,1.0,1,7093,,,,435,435,435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMG82822.1,,cds-PMG37199.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO94757.1,,,,cds-PMO64823.1,,,,,,cds-PMO33275.1,,,,,,,,,,,,,,,,,,,,,cds-PMM84344.1,,,cds-PMM48768.1,,,,,,,,,,,,,,,,,,,,,,,,,,,cds-PMO90205.1,,,,,,,,,,,,cds-PMM20431.1,,,,cds-PML84475.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
